"","Users","Ratio","Causes_pbs"
"3","UfIPEzEzh2E=",0.357142857142857,"Dechet inconnu"
"7","AARgRfIxNoA=",0.370879120879121,"Dechet inconnu"
"11","jzaUttwaTGE=",0.326478149100257,"Dechet inconnu"
"56","KxQCvgGqYGE=",0.210526315789474,"Dechet inconnu"
"187","Ef3MD0esWWE=",0.82051282051282,"Dechet inconnu"
"194","AAT4rCp1M4A=",0.234042553191489,"Dechet inconnu"
"195","Bn5UY/PMp2E=",0.376,"Dechet inconnu"
"274","AAQcXfIxNoE=",0.279891304347826,"Dechet inconnu"
"333","WvImZAlKMGE=",0.217391304347826,"Dechet inconnu"
"367","Aghsv0AGimE=",0.222222222222222,"Dechet inconnu"
"381","AASlUfIxNoA=",0.333333333333333,"Dechet inconnu"
"443","LF/Sj+11bmE=",0.216216216216216,"Dechet inconnu"
"471","8DYXU2rUJGE=",0.32258064516129,"Dechet inconnu"
"542","AASaVPIxNoA=",0.272727272727273,"Dechet inconnu"
"567","8AAAAAAAAAA=",0.884615384615385,"Dechet inconnu"
"568","AAAAAAAAIBQ=",0.580645161290323,"Dechet inconnu"
"572","AAR+UPIxNoA=",1,"Dechet inconnu"
"573","DwAAAAAAAAA=",1,"Dechet inconnu"
"625","dfZJlhe5UGE=",0.27891156462585,"Dechet inconnu"
"667","MYiPk0WqD2E=",0.314606741573034,"Dechet inconnu"
"682","AASKUvIxNoA=",0.222689075630252,"Dechet inconnu"
"716","AAQs4SrESIE=",0.208333333333333,"Dechet inconnu"
"737","AASkSfIxNoA=",0.476190476190476,"Dechet inconnu"
"775","AAQ4rip1M4A=",0.785714285714286,"Dechet inconnu"
"779","AAQ5xip1M4A=",0.264705882352941,"Dechet inconnu"
"807","AASqtSp1M4A=",0.236363636363636,"Dechet inconnu"
"808","AAApYPAREAA=",0.283018867924528,"Dechet inconnu"
"850","Uaa5+XhEuWE=",0.206642066420664,"Dechet inconnu"
"864","AASWSPIxNoA=",0.297297297297297,"Dechet inconnu"
"869","motzEqxeImE=",0.571428571428571,"Dechet inconnu"
"962","AAQxRvIxNoA=",0.32034632034632,"Dechet inconnu"
"1004","AAQVYPIxNoA=",0.529411764705882,"Dechet inconnu"
"1070","AATioyp1M4A=",0.277777777777778,"Dechet inconnu"
"1164","LelQybuJ32E=",0.322751322751323,"Dechet inconnu"
"1262","AATlTvIxNoA=",0.313432835820896,"Dechet inconnu"
"1412","AAQ6afIxNoA=",0.352941176470588,"Dechet inconnu"
"1426","XcNfssKgW2E=",0.25,"Dechet inconnu"
"1450","AASZwyp1M4A=",0.289473684210526,"Dechet inconnu"
"1509","AASKQ/IxNoA=",0.210144927536232,"Dechet inconnu"
"1510","AAQUPfIxNoE=",0.452380952380952,"Dechet inconnu"
"1523","4ako4fECUGE=",0.230769230769231,"Dechet inconnu"
"1526","AASSZPIxNoA=",0.5,"Dechet inconnu"
"1798","AAR/O/IxNoA=",0.24,"Dechet inconnu"
"1819","kZrpERbT1WE=",0.211640211640212,"Dechet inconnu"
"1820","AAQvUvIxNoA=",0.311111111111111,"Erreur"
"1849","AAQucfIxNoA=",0.211538461538462,"Dechet inconnu"
"1911","AAStcvIxNoA=",0.242424242424242,"Dechet inconnu"
"1963","AASldPIxNoA=",0.263157894736842,"Dechet inconnu"
"1974","XR97H4yyEmE=",0.270833333333333,"Dechet inconnu"
"2139","AAQPQfIxNoE=",0.619047619047619,"Dechet inconnu"
"2160","AARZavIxNoA=",0.303030303030303,"Dechet inconnu"
"2211","AAQAcfIxNoE=",0.25,"Dechet inconnu"
"2240","AATgRPIxNoA=",0.217391304347826,"Dechet inconnu"
